Year;Birth;Age;Sex;Reg;RegType;UkrBall100;
2020;1944;76;0;Kyivska  ;1;100;
2018;1954;64;1;Mykolaivska  ;1;165.0;
2018;1958;60;1;Mykolaivska  ;1;100.0;
2019;1958;61;0;Mykolaivska  ;1;137;
2019;1958;61;0;Vinnytska  ;1;143;
2019;1958;61;0;Ternopilska  ;1;185;
2018;1959;59;0;Dnipropetrovska  ;1;197.5;
2018;1959;59;0;Kharkivska  ;1;166.0;
2019;1959;60;0;Kyiv;1;197.5;
2020;1959;61;0;Kyivska  ;1;110;
2019;1959;60;1;Zaporizka  ;1;104;
2019;1960;59;1;Dnipropetrovska  ;1;163;
2020;1960;60;1;Dnipropetrovska  ;1;172;
2020;1960;60;0;Dnipropetrovska  ;1;114;
2019;1960;59;0;Khersonska  ;0;137;
2020;1960;60;1;Kyiv;1;179;
2018;1961;57;0;Cherkaska  ;1;150.0;
2019;1961;58;1;Cherkaska  ;0;117;
2018;1961;57;0;Dnipropetrovska  ;1;145.0;
2020;1961;59;0;Dnipropetrovska  ;1;134;
2018;1961;57;1;Kharkivska  ;1;178.0;
2019;1961;58;1;Kharkivska  ;1;176;
2020;1961;59;1;Kharkivska  ;1;182;
2018;1961;57;0;Kirovohradska  ;1;159.0;
2019;1961;58;0;Mykolaivska  ;1;149;
2020;1961;59;0;Sumska  ;1;116;
2020;1961;59;0;Khmelnytska  ;1;195;
2018;1962;56;0;Kyiv;1;121.0;
2019;1962;57;0;Kyiv;1;124;
2019;1962;57;0;Kyiv;1;138;
2020;1962;58;0;Sumska  ;1;103;
2020;1962;58;1;Zaporizka  ;1;142;
2019;1962;57;1;Ternopilska  ;1;137;
2020;1963;57;1;Cherkaska  ;1;114;
2018;1963;55;0;Dnipropetrovska  ;1;100.0;
2018;1963;55;0;Ivano-Frankivska  ;1;198.0;
2018;1963;55;0;Kirovohradska  ;1;136.0;
2018;1963;55;0;Kirovohradska  ;1;129.0;
2019;1963;56;0;Luhanska  ;1;104;
2020;1963;57;0;Odeska  ;1;152;
2018;1963;55;0;Zaporizka  ;1;112.0;
2018;1963;55;1;Zaporizka  ;1;126.0;
2020;1963;57;1;Zaporizka  ;1;121;
2020;1963;57;0;Lvivska  ;1;113;
2019;1963;56;0;Vinnytska  ;0;106;
2019;1963;56;0;Volynska  ;1;111;
2019;1964;55;0;Dnipropetrovska  ;1;167;
2020;1964;56;0;Dnipropetrovska  ;1;128;
2020;1964;56;0;Dnipropetrovska  ;1;168;
2018;1964;54;0;Donetska  ;0;102.0;
2018;1964;54;0;Donetska  ;1;131.0;
2019;1964;55;0;Kharkivska  ;1;106;
2018;1964;54;1;Kyiv;1;112.0;
2020;1964;56;0;Odeska  ;1;140;
2020;1964;56;0;Odeska  ;1;125;
2018;1964;54;0;Zaporizka  ;1;159.0;
2020;1964;56;0;Zaporizka  ;1;122;
2018;1965;53;0;Dnipropetrovska  ;1;145.0;
2018;1965;53;0;Dnipropetrovska  ;0;107.0;
2018;1965;53;0;Kharkivska  ;1;160.0;
2020;1965;55;1;Kharkivska  ;1;177;
2018;1965;53;0;Kirovohradska  ;1;104.0;
2020;1965;55;1;Kirovohradska  ;0;125;
2018;1965;53;0;Kyiv;1;124.0;
2018;1965;53;0;Kyiv;1;131.0;
2020;1965;55;0;Kyiv;1;142;
2018;1965;53;0;Luhanska  ;1;119.0;
2020;1965;55;0;Mykolaivska  ;1;150;
2018;1965;53;0;Odeska  ;1;196.0;
2019;1965;54;0;Odeska  ;1;196;
2019;1965;54;0;Odeska  ;1;102;
2020;1965;55;0;Sumska  ;1;114;
2018;1965;53;0;Zaporizka  ;1;119.0;
2018;1965;53;1;Zaporizka  ;1;181.0;
2018;1965;53;0;Zhytomyrska  ;1;105.0;
2020;1965;55;1;Vinnytska  ;1;118;
2020;1965;55;0;Rivnenska  ;0;135;
2019;1965;54;1;Lvivska  ;0;187;
2018;1966;52;0;Cherkaska  ;1;143.0;
2019;1966;53;0;Dnipropetrovska  ;1;106;
2020;1966;54;0;Dnipropetrovska  ;1;121;
2020;1966;54;1;Ivano-Frankivska  ;0;169;
2018;1966;52;1;Kharkivska  ;1;132.0;
2020;1966;54;0;Kyiv;1;135;
2020;1966;54;0;Kyiv;1;127;
2020;1966;54;0;Kyivska  ;0;130;
2019;1966;53;0;Luhanska  ;1;109;
2019;1966;53;0;Luhanska  ;1;127;
2020;1966;54;1;Luhanska  ;0;103;
2018;1966;52;0;Odeska  ;1;139.0;
2020;1966;54;0;Odeska  ;1;127;
2020;1966;54;0;Zaporizka  ;1;114;
2020;1966;54;0;Zaporizka  ;1;156;
2020;1966;54;0;Zakarpatska  ;0;119;
2020;1966;54;0;Zakarpatska  ;1;141;
2020;1966;54;0;Lvivska  ;1;159;
2020;1966;54;0;Poltavska  ;1;153;
2019;1966;53;0;Khmelnytska  ;0;120;
2018;1967;51;0;Dnipropetrovska  ;1;150.0;
2018;1967;51;0;Dnipropetrovska  ;0;134.0;
2020;1967;53;0;Dnipropetrovska  ;1;159;
2020;1967;53;0;Dnipropetrovska  ;0;162;
2019;1967;52;0;Donetska  ;1;127;
2019;1967;52;0;Donetska  ;1;107;
2020;1967;53;0;Donetska  ;1;196;
2018;1967;51;0;Kharkivska  ;1;146.0;
2019;1967;52;0;Kharkivska  ;1;111;
2019;1967;52;0;Kharkivska  ;1;157;
2020;1967;53;0;Kharkivska  ;1;121;
2020;1967;53;1;Kharkivska  ;1;119;
2019;1967;52;0;Kirovohradska  ;0;124;
2020;1967;53;0;Kirovohradska  ;0;128;
2020;1967;53;0;Kirovohradska  ;1;130;
2018;1967;51;0;Kyiv;1;121.0;
2018;1967;51;0;Kyivska  ;1;158.0;
2019;1967;52;1;Kyivska  ;1;129;
2019;1967;52;0;Luhanska  ;1;138;
2020;1967;53;0;Luhanska  ;0;127;
2020;1967;53;0;Mykolaivska  ;1;142;
2018;1967;51;0;Odeska  ;1;145.0;
2018;1967;51;0;Odeska  ;0;156.0;
2018;1967;51;0;Odeska  ;1;100.0;
2020;1967;53;1;Odeska  ;0;101;
2018;1967;51;0;Sumska  ;1;102.0;
2018;1967;51;0;Zaporizka  ;1;123.0;
2019;1967;52;0;Zaporizka  ;1;100;
2019;1967;52;1;Zaporizka  ;1;129;
2020;1967;53;1;Zaporizka  ;1;110;
2019;1967;52;1;Zhytomyrska  ;0;115;
2020;1967;53;0;Lvivska  ;0;159;
2020;1967;53;0;Poltavska  ;1;192.5;
2019;1967;52;0;Vinnytska  ;1;137;
2019;1967;52;1;Poltavska  ;1;102;
2018;1967;51;0;Zakarpatska  ;0;100.0;
2018;1967;51;1;Poltavska  ;1;126.0;
2018;1968;50;0;Dnipropetrovska  ;1;132.0;
2018;1968;50;1;Dnipropetrovska  ;1;132.0;
2018;1968;50;0;Dnipropetrovska  ;1;152.0;
2019;1968;51;0;Dnipropetrovska  ;1;107;
2020;1968;52;0;Dnipropetrovska  ;1;137;
2018;1968;50;0;Donetska  ;1;123.0;
2020;1968;52;1;Donetska  ;1;135;
2018;1968;50;0;Kharkivska  ;1;146.0;
2018;1968;50;0;Khersonska  ;1;107.0;
2018;1968;50;0;Kirovohradska  ;1;129.0;
2020;1968;52;0;Kirovohradska  ;1;176;
2018;1968;50;1;Kyiv;1;111.0;
2019;1968;51;1;Kyiv;1;132;
2020;1968;52;0;Kyiv;1;127;
2020;1968;52;1;Kyiv;1;121;
2020;1968;52;0;Kyivska  ;0;166;
2020;1968;52;0;Luhanska  ;1;142;
2019;1968;51;0;Odeska  ;0;120;
2020;1968;52;0;Sumska  ;1;124;
2020;1968;52;0;Sumska  ;0;122;
2018;1968;50;0;Zaporizka  ;0;170.0;
2018;1968;50;1;Zaporizka  ;0;129.0;
2020;1968;52;1;Zaporizka  ;1;104;
2020;1968;52;0;Zaporizka  ;0;137;
2019;1968;51;0;Poltavska  ;0;174;
2019;1968;51;0;Rivnenska  ;1;100;
2018;1968;50;0;Vinnytska  ;1;126.0;
2018;1968;50;0;Vinnytska  ;1;139.0;
2018;1968;50;0;Poltavska  ;1;191.0;
2018;1968;50;1;Khmelnytska  ;1;129.0;
2018;1968;50;0;Chernivetska  ;1;176.0;
2018;1968;50;0;Chernihivska  ;1;158.0;
2020;1968;52;0;Chernihivska  ;1;195;
2018;1969;49;0;Dnipropetrovska  ;1;119.0;
2018;1969;49;0;Dnipropetrovska  ;1;105.0;
2019;1969;50;1;Dnipropetrovska  ;1;102;
2020;1969;51;0;Dnipropetrovska  ;1;110;
2020;1969;51;0;Dnipropetrovska  ;1;121;
2020;1969;51;1;Dnipropetrovska  ;1;127;
2020;1969;51;0;Dnipropetrovska  ;0;131;
2018;1969;49;0;Donetska  ;1;129.0;
2018;1969;49;1;Donetska  ;1;105.0;
2018;1969;49;0;Donetska  ;1;147.0;
2018;1969;49;0;Donetska  ;1;135.0;
2019;1969;50;1;Donetska  ;0;144;
2020;1969;51;0;Donetska  ;1;141;
2020;1969;51;0;Donetska  ;1;135;
2019;1969;50;0;Ivano-Frankivska  ;1;115;
2018;1969;49;0;Kharkivska  ;0;107.0;
2018;1969;49;0;Kharkivska  ;1;160.0;
2019;1969;50;0;Kharkivska  ;0;126;
2020;1969;51;0;Kharkivska  ;1;134;
2019;1969;50;0;Kirovohradska  ;1;127;
2019;1969;50;0;Kirovohradska  ;0;100;
2019;1969;50;1;Kyiv;1;106;
2019;1969;50;0;Kyivska  ;0;153;
2020;1969;51;1;Kyivska  ;0;104;
2020;1969;51;0;Kyivska  ;1;131;
2018;1969;49;0;Luhanska  ;1;100.0;
2018;1969;49;0;Mykolaivska  ;1;165.0;
2018;1969;49;0;Mykolaivska  ;1;145.0;
2019;1969;50;0;Mykolaivska  ;0;132;
2020;1969;51;0;Mykolaivska  ;1;133;
2018;1969;49;0;Odeska  ;0;138.0;
2019;1969;50;0;Odeska  ;1;127;
2019;1969;50;0;Odeska  ;1;140;
2019;1969;50;0;Sumska  ;1;144;
2018;1969;49;1;Zaporizka  ;1;129.0;
2018;1969;49;0;Zaporizka  ;1;141.0;
2018;1969;49;0;Zaporizka  ;1;145.0;
2019;1969;50;0;Zaporizka  ;1;127;
2019;1969;50;0;Zaporizka  ;0;104;
2020;1969;51;0;Zakarpatska  ;1;116;
2020;1969;51;0;Lvivska  ;1;165;
2020;1969;51;0;Lvivska  ;1;104;
2020;1969;51;0;Rivnenska  ;1;127;
2020;1969;51;0;Chernihivska  ;1;118;
2020;1970;50;0;Cherkaska  ;0;141;
2018;1970;48;0;Dnipropetrovska  ;1;173.0;
2018;1970;48;0;Dnipropetrovska  ;1;111.0;
2018;1970;48;0;Dnipropetrovska  ;0;111.0;
2019;1970;49;0;Dnipropetrovska  ;1;143;
2019;1970;49;0;Dnipropetrovska  ;0;140;
2020;1970;50;0;Dnipropetrovska  ;1;110;
2020;1970;50;0;Dnipropetrovska  ;1;142;
2020;1970;50;0;Dnipropetrovska  ;1;130;
2018;1970;48;0;Donetska  ;1;136.0;
2018;1970;48;0;Donetska  ;0;167.0;
2019;1970;49;0;Donetska  ;1;132;
2019;1970;49;0;Donetska  ;1;109;
2018;1970;48;0;Kharkivska  ;1;124.0;
2018;1970;48;0;Kharkivska  ;1;116.0;
2019;1970;49;0;Kharkivska  ;1;147;
2019;1970;49;1;Kharkivska  ;0;153;
2020;1970;50;0;Kharkivska  ;1;118;
2018;1970;48;1;Kirovohradska  ;1;107.0;
2018;1970;48;0;Kyiv;1;138.0;
2018;1970;48;1;Kyiv;1;141.0;
2019;1970;49;1;Kyiv;1;106;
2019;1970;49;1;Kyiv;1;131;
2019;1970;49;0;Kyiv;1;100;
2019;1970;49;1;Kyiv;1;143;
2020;1970;50;1;Kyiv;1;103;
2020;1970;50;0;Kyiv;1;137;
2018;1970;48;0;Kyivska  ;0;139.0;
2018;1970;48;0;Kyivska  ;1;112.0;
2019;1970;49;0;Kyivska  ;1;137;
2020;1970;50;0;Kyivska  ;1;186;
2018;1970;48;0;Luhanska  ;1;152.0;
2019;1970;49;1;Luhanska  ;1;120;
2019;1970;49;0;Luhanska  ;1;115;
2020;1970;50;0;Luhanska  ;0;116;
2020;1970;50;0;Mykolaivska  ;1;140;
2018;1970;48;0;Odeska  ;1;168.0;
2020;1970;50;1;Odeska  ;1;108;
2020;1970;50;1;Odeska  ;1;116;
2018;1970;48;0;Sumska  ;1;121.0;
2019;1970;49;0;Sumska  ;0;147;
2019;1970;49;0;Sumska  ;0;138;
2020;1970;50;0;Sumska  ;1;154;
2018;1970;48;0;Zaporizka  ;0;163.0;
2019;1970;49;0;Zaporizka  ;0;124;
2020;1970;50;1;Zaporizka  ;1;113;
2019;1970;49;0;Zhytomyrska  ;0;145;
2020;1970;50;1;Vinnytska  ;1;130;
2020;1970;50;0;Vinnytska  ;0;106;
2020;1970;50;0;Volynska  ;0;110;
2020;1970;50;0;Lvivska  ;1;134;
2020;1970;50;0;Lvivska  ;1;137;
2020;1970;50;0;Poltavska  ;1;104;
2020;1970;50;0;Poltavska  ;1;174;
2020;1970;50;0;Rivnenska  ;1;130;
2020;1970;50;0;Rivnenska  ;1;124;
2020;1970;50;0;Rivnenska  ;1;133;
2020;1970;50;0;Ternopilska  ;1;134;
2020;1970;50;0;Ternopilska  ;1;192;
2019;1970;49;0;Lvivska  ;1;106;
2019;1970;49;0;Poltavska  ;1;119;
2019;1970;49;0;Poltavska  ;1;197;
2019;1970;49;0;Ternopilska  ;1;198;
2019;1970;49;1;Khmelnytska  ;0;117;
2018;1970;48;0;Vinnytska  ;1;105.0;
2018;1970;48;0;Vinnytska  ;0;112.0;
2018;1970;48;0;Vinnytska  ;1;146.0;
2018;1970;48;0;Volynska  ;1;135.0;
2018;1970;48;1;Lvivska  ;1;104.0;
2018;1970;48;0;Poltavska  ;1;148.0;
2018;1970;48;1;Poltavska  ;1;127.0;
2018;1970;48;0;Poltavska  ;1;193.0;
2018;1970;48;0;Ternopilska  ;1;197.0;
2020;1970;50;1;Chernihivska  ;1;127;
2018;1971;47;0;Cherkaska  ;1;157.0;
2020;1971;49;0;Cherkaska  ;1;125;
2020;1971;49;0;Cherkaska  ;0;119;
2020;1971;49;0;Cherkaska  ;1;171;
2018;1971;47;0;Dnipropetrovska  ;1;100.0;
2018;1971;47;0;Dnipropetrovska  ;1;142.0;
2018;1971;47;0;Dnipropetrovska  ;1;107.0;
2018;1971;47;0;Dnipropetrovska  ;0;118.0;
2018;1971;47;0;Dnipropetrovska  ;1;121.0;
2018;1971;47;0;Dnipropetrovska  ;1;152.0;
2018;1971;47;0;Dnipropetrovska  ;1;141.0;
2019;1971;48;1;Dnipropetrovska  ;1;132;
2019;1971;48;0;Dnipropetrovska  ;1;138;
2019;1971;48;0;Dnipropetrovska  ;1;104;
2019;1971;48;0;Dnipropetrovska  ;1;131;
2019;1971;48;1;Dnipropetrovska  ;1;122;
2019;1971;48;0;Dnipropetrovska  ;1;131;
2020;1971;49;0;Dnipropetrovska  ;1;119;
2020;1971;49;1;Dnipropetrovska  ;1;154;
2020;1971;49;0;Dnipropetrovska  ;1;144;
2018;1971;47;0;Donetska  ;1;146.0;
2018;1971;47;1;Donetska  ;1;114.0;
2019;1971;48;0;Donetska  ;1;137;
2019;1971;48;0;Donetska  ;0;100;
2020;1971;49;0;Donetska  ;1;163;
2018;1971;47;0;Kharkivska  ;0;145.0;
2018;1971;47;1;Kharkivska  ;1;109.0;
2018;1971;47;1;Kharkivska  ;1;182.0;
2018;1971;47;0;Kharkivska  ;1;126.0;
2018;1971;47;0;Kharkivska  ;1;105.0;
2019;1971;48;0;Kharkivska  ;1;124;
2020;1971;49;0;Kharkivska  ;1;159;
2020;1971;49;0;Kharkivska  ;1;140;
2020;1971;49;1;Kharkivska  ;1;137;
2020;1971;49;1;Kharkivska  ;1;107;
2018;1971;47;0;Khersonska  ;0;152.0;
2018;1971;47;0;Khersonska  ;0;141.0;
2019;1971;48;1;Khersonska  ;1;127;
2019;1971;48;1;Khersonska  ;0;102;
2019;1971;48;0;Khersonska  ;1;170;
2020;1971;49;1;Khersonska  ;1;108;
2018;1971;47;0;Kirovohradska  ;0;129.0;
2018;1971;47;0;Kirovohradska  ;1;100.0;
2018;1971;47;0;Kyiv;1;191.0;
2018;1971;47;0;Kyiv;1;183.0;
2018;1971;47;0;Kyiv;1;150.0;
2018;1971;47;0;Kyiv;1;121.0;
2019;1971;48;0;Kyiv;1;115;
2019;1971;48;0;Kyiv;1;117;
2020;1971;49;0;Kyiv;1;124;
2020;1971;49;0;Kyiv;1;122;
2020;1971;49;1;Kyiv;1;134;
2018;1971;47;1;Kyivska  ;1;112.0;
2019;1971;48;0;Kyivska  ;0;172;
2020;1971;49;0;Kyivska  ;0;106;
2020;1971;49;0;Kyivska  ;1;192.5;
2020;1971;49;1;Kyivska  ;1;106;
2020;1971;49;0;Kyivska  ;1;133;
2018;1971;47;0;Luhanska  ;1;102.0;
2018;1971;47;0;Mykolaivska  ;1;131.0;
2020;1971;49;0;Mykolaivska  ;1;110;
2020;1971;49;0;Mykolaivska  ;1;107;
2018;1971;47;0;Odeska  ;1;181.0;
2019;1971;48;0;Odeska  ;1;163;
2019;1971;48;0;Odeska  ;1;124;
2019;1971;48;0;Odeska  ;1;107;
2020;1971;49;0;Odeska  ;1;125;
2019;1971;48;0;Sumska  ;1;129;
2018;1971;47;1;Zaporizka  ;1;118.0;
2018;1971;47;0;Zaporizka  ;1;165.0;
2019;1971;48;0;Zaporizka  ;1;115;
2019;1971;48;1;Zaporizka  ;1;134;
2019;1971;48;1;Zaporizka  ;1;119;
2019;1971;48;0;Zaporizka  ;1;157;
2020;1971;49;0;Zaporizka  ;1;107;
2019;1971;48;0;Zhytomyrska  ;1;104;
2020;1971;49;0;Zakarpatska  ;0;106;
2020;1971;49;1;Lvivska  ;1;162;
2020;1971;49;0;Lvivska  ;1;152;
2020;1971;49;1;Lvivska  ;1;144;
2020;1971;49;0;Poltavska  ;1;110;
2019;1971;48;0;Lvivska  ;1;148;
2018;1971;47;0;Vinnytska  ;1;127.0;
2018;1971;47;0;Zakarpatska  ;0;102.0;
2018;1971;47;1;Lvivska  ;1;146.0;
2018;1971;47;0;Poltavska  ;1;127.0;
2018;1971;47;0;Chernivetska  ;0;126.0;
2019;1971;48;0;Chernihivska  ;1;129;
2018;1972;46;0;Cherkaska  ;1;169.0;
2019;1972;47;0;Cherkaska  ;0;109;
2019;1972;47;0;Cherkaska  ;0;161;
2020;1972;48;1;Cherkaska  ;0;135;
2018;1972;46;0;Dnipropetrovska  ;0;136.0;
2018;1972;46;0;Dnipropetrovska  ;1;121.0;
2018;1972;46;0;Dnipropetrovska  ;1;109.0;
2018;1972;46;0;Dnipropetrovska  ;1;109.0;
2019;1972;47;0;Dnipropetrovska  ;1;164;
2019;1972;47;0;Dnipropetrovska  ;1;126;
2019;1972;47;0;Dnipropetrovska  ;0;132;
2019;1972;47;0;Dnipropetrovska  ;0;147;
2020;1972;48;0;Dnipropetrovska  ;1;130;
2020;1972;48;0;Dnipropetrovska  ;0;134;
2020;1972;48;0;Dnipropetrovska  ;1;121;
2020;1972;48;0;Dnipropetrovska  ;1;119;
2020;1972;48;0;Dnipropetrovska  ;1;111;
2020;1972;48;0;Dnipropetrovska  ;1;107;
2020;1972;48;0;Dnipropetrovska  ;0;144;
2020;1972;48;1;Dnipropetrovska  ;1;160;
2018;1972;46;0;Donetska  ;1;114.0;
2018;1972;46;0;Donetska  ;1;143.0;
2019;1972;47;1;Donetska  ;1;111;
2020;1972;48;0;Donetska  ;0;133;
2019;1972;47;1;Ivano-Frankivska  ;1;111;
2020;1972;48;0;Ivano-Frankivska  ;0;135;
2019;1972;47;0;Kharkivska  ;1;140;
2019;1972;47;0;Kharkivska  ;1;132;
2019;1972;47;1;Kharkivska  ;1;104;
2019;1972;47;0;Kharkivska  ;1;117;
2019;1972;47;0;Kharkivska  ;1;137;
2019;1972;47;0;Kharkivska  ;1;122;
2019;1972;47;0;Kharkivska  ;1;163;
2020;1972;48;1;Kharkivska  ;0;128;
2018;1972;46;0;Khersonska  ;1;136.0;
2018;1972;46;0;Khersonska  ;1;152.0;
2020;1972;48;1;Khersonska  ;1;104;
2018;1972;46;0;Kirovohradska  ;1;158.0;
2018;1972;46;0;Kirovohradska  ;1;116.0;
2018;1972;46;0;Kirovohradska  ;1;118.0;
2019;1972;47;0;Kirovohradska  ;0;111;
2018;1972;46;0;Kyiv;1;107.0;
2018;1972;46;0;Kyiv;1;105.0;
2018;1972;46;0;Kyiv;1;159.0;
2018;1972;46;1;Kyiv;1;167.0;
2018;1972;46;0;Kyiv;1;118.0;
2018;1972;46;0;Kyiv;1;118.0;
2018;1972;46;0;Kyiv;1;175.0;
2018;1972;46;1;Kyiv;1;111.0;
2019;1972;47;0;Kyiv;1;126;
2019;1972;47;0;Kyiv;1;126;
2019;1972;47;0;Kyiv;1;140;
2018;1972;46;1;Kyivska  ;1;169.0;
2018;1972;46;1;Kyivska  ;1;163.0;
2018;1972;46;0;Kyivska  ;0;123.0;
2018;1972;46;0;Kyivska  ;1;164.0;
2019;1972;47;0;Kyivska  ;0;177;
2020;1972;48;0;Kyivska  ;0;150;
2018;1972;46;0;Luhanska  ;1;104.0;
2018;1972;46;1;Luhanska  ;1;109.0;
2020;1972;48;0;Luhanska  ;1;119;
2018;1972;46;0;Mykolaivska  ;1;111.0;
2018;1972;46;1;Mykolaivska  ;1;155.0;
2019;1972;47;0;Mykolaivska  ;0;107;
2019;1972;47;1;Mykolaivska  ;1;117;
2020;1972;48;0;Mykolaivska  ;1;108;
2020;1972;48;0;Mykolaivska  ;1;125;
2020;1972;48;0;Mykolaivska  ;1;106;
2019;1972;47;0;Odeska  ;0;141;
2020;1972;48;0;Odeska  ;1;131;
2020;1972;48;0;Odeska  ;1;178;
2020;1972;48;0;Odeska  ;1;128;
2018;1972;46;0;Sumska  ;1;109.0;
2019;1972;47;0;Sumska  ;0;153;
2020;1972;48;0;Sumska  ;1;170;
2020;1972;48;0;Sumska  ;0;125;
2020;1972;48;0;Sumska  ;0;110;
2020;1972;48;0;Sumska  ;1;110;
2018;1972;46;0;Zaporizka  ;1;109.0;
2018;1972;46;0;Zaporizka  ;1;134.0;
2018;1972;46;1;Zaporizka  ;1;116.0;
2019;1972;47;0;Zaporizka  ;1;155;
2019;1972;47;0;Zaporizka  ;1;141;
2019;1972;47;0;Zaporizka  ;1;124;
2019;1972;47;0;Zaporizka  ;1;129;
2019;1972;47;0;Zaporizka  ;1;126;
2020;1972;48;0;Zaporizka  ;1;127;
2020;1972;48;1;Zhytomyrska  ;0;101;
2020;1972;48;0;Zhytomyrska  ;1;184;
2020;1972;48;0;Zakarpatska  ;0;100;
2020;1972;48;0;Lvivska  ;1;104;
2020;1972;48;0;Lvivska  ;1;171;
2020;1972;48;0;Lvivska  ;1;124;
2020;1972;48;1;Poltavska  ;1;147;
2020;1972;48;0;Poltavska  ;1;125;
2020;1972;48;0;Poltavska  ;1;130;
2020;1972;48;0;Poltavska  ;1;144;
2020;1972;48;0;Poltavska  ;1;113;
2020;1972;48;0;Rivnenska  ;1;149;
2020;1972;48;0;Ternopilska  ;0;106;
2019;1972;47;0;Lvivska  ;1;131;
2019;1972;47;1;Poltavska  ;0;117;
2019;1972;47;1;Poltavska  ;1;162;
2019;1972;47;0;Rivnenska  ;1;156;
2018;1972;46;0;Volynska  ;1;118.0;
2018;1972;46;0;Lvivska  ;0;139.0;
2018;1972;46;0;Poltavska  ;1;158.0;
2018;1972;46;0;Poltavska  ;1;162.0;
2018;1972;46;0;Ternopilska  ;1;199.0;
2018;1972;46;1;Chernihivska  ;1;163.0;
2019;1972;47;1;Chernihivska  ;1;143;
2019;1972;47;0;Chernihivska  ;1;107;
2019;1972;47;0;Chernihivska  ;0;111;
2018;1973;45;1;Cherkaska  ;1;146.0;
2019;1973;46;0;Cherkaska  ;1;124;
2020;1973;47;1;Cherkaska  ;1;121;
2020;1973;47;1;Cherkaska  ;1;141;
2018;1973;45;0;Dnipropetrovska  ;1;148.0;
2018;1973;45;0;Dnipropetrovska  ;0;159.0;
2019;1973;46;0;Dnipropetrovska  ;1;149;
2019;1973;46;0;Dnipropetrovska  ;1;149;
2019;1973;46;0;Dnipropetrovska  ;1;147;
2019;1973;46;0;Dnipropetrovska  ;1;148;
2019;1973;46;0;Dnipropetrovska  ;1;150;
2019;1973;46;0;Dnipropetrovska  ;1;175;
2019;1973;46;0;Dnipropetrovska  ;1;104;
2019;1973;46;0;Dnipropetrovska  ;1;154;
2019;1973;46;1;Dnipropetrovska  ;1;129;
2020;1973;47;0;Dnipropetrovska  ;1;153;
2020;1973;47;0;Dnipropetrovska  ;1;124;
2020;1973;47;0;Dnipropetrovska  ;1;149;
2020;1973;47;0;Dnipropetrovska  ;1;138;
2020;1973;47;0;Dnipropetrovska  ;1;101;
2020;1973;47;0;Dnipropetrovska  ;1;122;
2018;1973;45;1;Donetska  ;1;100.0;
2018;1973;45;0;Donetska  ;1;127.0;
2019;1973;46;0;Donetska  ;1;113;
2019;1973;46;0;Donetska  ;1;169;
2020;1973;47;0;Donetska  ;1;131;
2020;1973;47;0;Donetska  ;1;144;
2020;1973;47;0;Donetska  ;1;199;
2020;1973;47;1;Donetska  ;1;116;
2020;1973;47;1;Donetska  ;1;113;
2020;1973;47;1;Donetska  ;1;127;
2018;1973;45;0;Ivano-Frankivska  ;1;139.0;
2020;1973;47;1;Ivano-Frankivska  ;1;108;
2019;1973;46;0;Kharkivska  ;1;120;
2019;1973;46;0;Kharkivska  ;1;170;
2019;1973;46;1;Kharkivska  ;1;107;
2020;1973;47;0;Kharkivska  ;1;125;
2020;1973;47;1;Kharkivska  ;1;116;
2020;1973;47;1;Kharkivska  ;1;101;
2018;1973;45;0;Khersonska  ;1;151.0;
2018;1973;45;0;Khersonska  ;1;107.0;
2018;1973;45;1;Khersonska  ;1;109.0;
2019;1973;46;0;Khersonska  ;0;129;
2019;1973;46;0;Khersonska  ;1;126;
2019;1973;46;0;Khersonska  ;1;134;
2020;1973;47;0;Khersonska  ;1;128;
2018;1973;45;1;Kirovohradska  ;1;100.0;
2019;1973;46;1;Kirovohradska  ;1;122;
2019;1973;46;1;Kirovohradska  ;1;111;
2018;1973;45;1;Kyiv;1;139.0;
2018;1973;45;1;Kyiv;1;138.0;
2018;1973;45;0;Kyiv;1;152.0;
2018;1973;45;0;Kyiv;1;148.0;
2018;1973;45;0;Kyiv;1;166.0;
2018;1973;45;0;Kyiv;1;195.0;
2018;1973;45;1;Kyiv;1;142.0;
2019;1973;46;0;Kyiv;1;154;
2019;1973;46;0;Kyiv;1;134;
2019;1973;46;0;Kyiv;1;199.5;
2020;1973;47;0;Kyiv;1;159;
2020;1973;47;0;Kyiv;1;137;
2020;1973;47;0;Kyiv;1;178;
2020;1973;47;0;Kyiv;1;197.5;
2020;1973;47;0;Kyiv;1;138;
2019;1973;46;1;Kyivska  ;0;153;
2019;1973;46;0;Kyivska  ;1;157;
2020;1973;47;1;Kyivska  ;0;130;
2020;1973;47;0;Kyivska  ;0;122;
2020;1973;47;1;Kyivska  ;1;133;
2020;1973;47;0;Kyivska  ;1;162;
2018;1973;45;0;Luhanska  ;1;102.0;
2019;1973;46;0;Luhanska  ;1;104;
2020;1973;47;0;Luhanska  ;0;189;
2020;1973;47;0;Luhanska  ;1;118;
2018;1973;45;0;Mykolaivska  ;0;129.0;
2018;1973;45;0;Mykolaivska  ;1;165.0;
2019;1973;46;0;Mykolaivska  ;1;126;
2019;1973;46;0;Mykolaivska  ;1;109;
2019;1973;46;0;Mykolaivska  ;1;149;
2019;1973;46;0;Mykolaivska  ;1;172;
2020;1973;47;0;Mykolaivska  ;1;111;
2018;1973;45;0;Odeska  ;1;121.0;
2018;1973;45;0;Odeska  ;1;112.0;
